timestamp,ae38e
"12/7/2021, 12:37:34 PM","1.06,0.11,8.77"
"12/7/2021, 12:37:24 PM","1.05,0.13,8.77"
"12/7/2021, 12:37:14 PM","1.05,0.13,8.79"
"12/7/2021, 12:37:03 PM","1.05,0.09,8.78"
"12/7/2021, 12:36:53 PM","1.05,0.08,8.76"
"12/7/2021, 12:36:43 PM","1.05,0.09,8.75"
"12/7/2021, 12:36:33 PM","1.04,0.15,8.77"
"12/7/2021, 12:36:23 PM","1.04,0.13,8.79"
"12/7/2021, 12:36:13 PM","1.07,0.14,8.79"
"12/7/2021, 12:36:03 PM","1.05,0.15,8.80"
"12/7/2021, 12:35:53 PM","1.06,0.13,8.78"
"12/7/2021, 12:35:43 PM","1.05,0.14,8.77"
"12/7/2021, 12:35:33 PM","1.06,0.16,8.80"
"12/7/2021, 12:35:22 PM","1.06,0.15,8.81"
"12/7/2021, 12:35:12 PM","1.04,0.13,8.77"
"12/7/2021, 12:35:02 PM","1.09,0.11,8.84"
"12/7/2021, 12:34:52 PM","1.06,0.15,8.78"
"12/7/2021, 12:34:42 PM","1.06,0.13,8.79"
"12/7/2021, 12:34:32 PM","1.07,0.14,8.78"
"12/7/2021, 12:34:22 PM","1.06,0.13,8.80"
"12/7/2021, 12:34:12 PM","1.05,0.13,8.80"
"12/7/2021, 12:34:02 PM","1.06,0.13,8.78"
"12/7/2021, 12:33:52 PM","1.06,0.14,8.79"
"12/7/2021, 12:33:41 PM","1.04,0.13,8.78"
"12/7/2021, 12:33:31 PM","1.01,0.11,8.77"
"12/7/2021, 12:33:21 PM","1.05,0.13,8.74"
"12/7/2021, 12:33:11 PM","1.05,0.14,8.81"
"12/7/2021, 12:33:01 PM","1.05,0.14,8.79"
"12/7/2021, 12:32:51 PM","1.06,0.15,8.79"
"12/7/2021, 12:32:41 PM","1.05,0.13,8.79"
"12/7/2021, 12:32:31 PM","1.06,0.11,8.80"
"12/7/2021, 12:32:21 PM","1.06,0.12,8.80"
"12/7/2021, 12:32:11 PM","1.04,0.12,8.79"
"12/7/2021, 12:32:00 PM","1.07,0.14,8.82"
"12/7/2021, 12:31:50 PM","1.06,0.14,8.80"
"12/7/2021, 12:31:40 PM","1.05,0.13,8.78"
"12/7/2021, 12:31:30 PM","1.06,0.16,8.77"
"12/7/2021, 12:31:20 PM","1.05,0.12,8.78"
"12/7/2021, 12:31:10 PM","1.06,0.13,8.81"
"12/7/2021, 12:31:00 PM","1.06,0.13,8.80"
"12/7/2021, 12:30:50 PM","1.04,0.14,8.80"
"12/7/2021, 12:30:40 PM","1.05,0.16,8.77"
"12/7/2021, 12:30:29 PM","1.06,0.15,8.80"
"12/7/2021, 12:30:19 PM","1.04,0.13,8.79"
"12/7/2021, 12:30:09 PM","1.04,0.14,8.80"
"12/7/2021, 12:29:59 PM","1.05,0.13,8.79"
"12/7/2021, 12:29:49 PM","1.06,0.16,8.77"
"12/7/2021, 12:29:39 PM","1.07,0.14,8.79"
"12/7/2021, 12:29:29 PM","1.03,0.13,8.82"
"12/7/2021, 12:29:19 PM","1.04,0.12,8.79"
"12/7/2021, 12:29:09 PM","1.05,0.15,8.79"
"12/7/2021, 12:28:59 PM","1.05,0.14,8.77"
"12/7/2021, 12:28:48 PM","1.06,0.15,8.80"
"12/7/2021, 12:28:38 PM","1.05,0.12,8.81"
"12/7/2021, 12:28:28 PM","1.07,0.13,8.78"
"12/7/2021, 12:28:18 PM","1.03,0.14,8.77"
"12/7/2021, 12:28:08 PM","1.05,0.13,8.75"
"12/7/2021, 12:27:58 PM","1.05,0.14,8.78"
"12/7/2021, 12:27:48 PM","1.06,0.13,8.78"
"12/7/2021, 12:27:38 PM","1.05,0.14,8.76"
"12/7/2021, 12:27:28 PM","1.05,0.14,8.79"
"12/7/2021, 12:27:18 PM","1.07,0.14,8.83"
"12/7/2021, 12:27:07 PM","1.04,0.14,8.80"
"12/7/2021, 12:26:57 PM","1.05,0.14,8.77"
"12/7/2021, 12:26:47 PM","1.05,0.12,8.79"
"12/7/2021, 12:26:37 PM","1.07,0.14,8.76"
"12/7/2021, 12:26:27 PM","1.07,0.13,8.76"
"12/7/2021, 12:26:17 PM","1.07,0.13,8.79"
"12/7/2021, 12:26:07 PM","1.07,0.15,8.75"
"12/7/2021, 12:25:57 PM","1.06,0.14,8.78"
"12/7/2021, 12:25:47 PM","1.05,0.14,8.77"
"12/7/2021, 12:25:36 PM","1.05,0.14,8.79"
"12/7/2021, 12:25:26 PM","1.05,0.14,8.78"
"12/7/2021, 12:25:16 PM","1.08,0.13,8.80"
"12/7/2021, 12:25:06 PM","1.04,0.15,8.77"
"12/7/2021, 12:24:56 PM","1.06,0.14,8.82"
"12/7/2021, 12:24:46 PM","1.07,0.14,8.76"
"12/7/2021, 12:24:36 PM","1.04,0.11,8.81"
"12/7/2021, 12:24:26 PM","1.04,0.13,8.80"
"12/7/2021, 12:24:16 PM","1.05,0.14,8.76"
"12/7/2021, 12:24:05 PM","1.03,0.14,8.77"
"12/7/2021, 12:23:55 PM","1.06,0.13,8.80"
"12/7/2021, 12:23:45 PM","1.06,0.12,8.76"
"12/7/2021, 12:23:35 PM","1.06,0.12,8.77"
"12/7/2021, 12:23:25 PM","1.05,0.11,8.78"
"12/7/2021, 12:23:15 PM","1.05,0.13,8.78"
"12/7/2021, 12:23:05 PM","1.03,0.12,8.76"
"12/7/2021, 12:22:55 PM","1.05,0.14,8.80"
"12/7/2021, 12:22:45 PM","1.06,0.14,8.78"
"12/7/2021, 12:22:35 PM","1.06,0.15,8.78"
"12/7/2021, 12:22:24 PM","1.05,0.12,8.79"
"12/7/2021, 12:22:14 PM","1.06,0.14,8.80"
"12/7/2021, 12:22:04 PM","1.05,0.14,8.80"
"12/7/2021, 12:21:54 PM","1.04,0.13,8.79"
"12/7/2021, 12:21:44 PM","1.04,0.15,8.81"
"12/7/2021, 12:21:34 PM","1.06,0.14,8.79"
"12/7/2021, 12:21:24 PM","1.04,0.13,8.78"
"12/7/2021, 12:21:14 PM","1.04,0.13,8.78"
"12/7/2021, 12:21:04 PM","1.02,0.15,8.78"
"12/7/2021, 12:20:53 PM","1.07,0.14,8.78"
"12/7/2021, 12:20:43 PM","1.05,0.11,8.78"
"12/7/2021, 12:20:33 PM","1.14,0.16,8.69"
"12/7/2021, 12:20:23 PM","1.05,0.16,8.78"
"12/7/2021, 12:20:13 PM","1.04,0.15,8.79"
"12/7/2021, 12:20:03 PM","1.07,0.14,8.95"
"12/7/2021, 12:19:53 PM","1.03,0.13,8.75"
"12/7/2021, 12:19:43 PM","1.05,0.12,8.78"
"12/7/2021, 12:19:33 PM","1.04,0.14,8.79"
"12/7/2021, 12:19:23 PM","1.05,0.14,8.78"
"12/7/2021, 12:19:12 PM","1.06,0.13,8.80"
"12/7/2021, 12:19:02 PM","1.06,0.14,8.75"
"12/7/2021, 12:18:52 PM","1.06,0.12,8.78"
"12/7/2021, 12:18:42 PM","1.07,0.13,8.78"
"12/7/2021, 12:18:32 PM","1.06,0.11,8.76"
"12/7/2021, 12:18:22 PM","1.05,0.15,8.77"
"12/7/2021, 12:18:12 PM","1.09,0.12,8.77"
"12/7/2021, 12:18:02 PM","1.06,0.13,8.78"
"12/7/2021, 12:17:52 PM","1.07,0.15,8.77"
"12/7/2021, 12:17:41 PM","0.94,-0.92,8.84"
"12/7/2021, 12:17:31 PM","0.84,-7.49,4.63"
"12/7/2021, 12:17:21 PM","0.91,-0.02,8.78"
"12/7/2021, 12:17:11 PM","1.06,0.41,8.76"
"12/7/2021, 12:17:01 PM","-4.53,0.48,7.58"
"12/7/2021, 12:16:51 PM","-4.07,0.52,7.86"
"12/7/2021, 12:16:41 PM","1.06,0.43,8.79"
"12/7/2021, 12:16:31 PM","1.07,0.42,8.79"
"12/7/2021, 12:16:21 PM","1.06,0.43,8.79"
"12/7/2021, 12:16:11 PM","1.05,0.44,8.82"
"12/7/2021, 12:16:00 PM","1.08,0.44,8.78"
"12/7/2021, 12:15:50 PM","1.04,0.41,8.81"
"12/7/2021, 12:15:40 PM","1.07,0.43,8.79"
"12/7/2021, 12:15:30 PM","1.04,0.45,8.77"
"12/7/2021, 12:15:20 PM","1.05,0.45,8.77"
"12/7/2021, 12:15:10 PM","1.05,0.44,8.78"
"12/7/2021, 12:15:00 PM","1.06,0.44,8.79"
"12/7/2021, 12:14:50 PM","1.06,0.44,8.80"
"12/7/2021, 12:14:40 PM","1.05,0.43,8.81"
